DATETIME, Mount Head Flow
2019-06-04 11:26:45:66,-0.683
2019-06-04 11:26:45:69,-0.683
2019-06-04 11:26:45:70,-0.683
2019-06-04 11:26:45:72,-0.683
2019-06-04 11:26:45:73,-0.683
2019-06-04 11:26:45:75,-0.683
2019-06-04 11:26:45:77,-0.683
2019-06-04 11:26:45:80,-0.683
2019-06-04 11:26:45:81,-0.683
2019-06-04 11:26:45:84,-0.683
2019-06-04 11:26:45:86,-0.683
2019-06-04 11:26:45:88,-0.683
2019-06-04 11:26:45:91,-0.683
2019-06-04 11:26:45:92,-0.683
2019-06-04 11:26:45:97,-0.683
2019-06-04 11:26:46:00,-0.683
2019-06-04 11:26:46:03,-0.683
2019-06-04 11:26:46:06,-0.683
2019-06-04 11:26:46:16,-0.682
2019-06-04 11:26:46:19,-0.682
2019-06-04 11:26:46:20,-0.682
2019-06-04 11:26:46:23,-0.682
2019-06-04 11:26:46:25,-0.682
2019-06-04 11:26:46:28,-0.682
2019-06-04 11:26:46:30,-0.682
2019-06-04 11:26:46:33,-0.682
2019-06-04 11:26:46:36,-0.682
2019-06-04 11:26:46:37,-0.682
2019-06-04 11:26:46:41,-0.682
2019-06-04 11:26:46:42,-0.682
2019-06-04 11:26:46:45,-0.682
2019-06-04 11:26:46:48,-0.682
2019-06-04 11:26:46:50,-0.682
2019-06-04 11:26:46:51,-0.682
2019-06-04 11:26:46:53,-0.682
2019-06-04 11:26:46:56,-0.682
2019-06-04 11:26:46:58,-0.682
2019-06-04 11:26:46:59,-0.682
2019-06-04 11:26:46:61,-0.682
2019-06-04 11:26:46:62,-0.682
2019-06-04 11:26:46:64,-0.682
2019-06-04 11:26:46:67,-0.682
2019-06-04 11:26:46:69,-0.682
2019-06-04 11:26:46:70,-0.682
2019-06-04 11:26:46:72,-0.682
2019-06-04 11:26:46:73,-0.682
2019-06-04 11:26:46:75,-0.682
2019-06-04 11:26:46:78,-0.682
2019-06-04 11:26:46:81,-0.682
2019-06-04 11:26:46:83,-0.682
2019-06-04 11:26:46:84,-0.682
2019-06-04 11:26:46:86,-0.682
2019-06-04 11:26:46:89,-0.682
2019-06-04 11:26:46:92,-0.682
2019-06-04 11:26:46:95,-0.682
2019-06-04 11:26:46:97,-0.682
2019-06-04 11:26:46:98,-0.682
2019-06-04 11:26:47:01,-0.682
2019-06-04 11:26:47:03,-0.682
2019-06-04 11:26:47:20,-0.684
2019-06-04 11:26:47:22,-0.684
2019-06-04 11:26:47:25,-0.684
2019-06-04 11:26:47:28,-0.684
2019-06-04 11:26:47:31,-0.684
2019-06-04 11:26:47:33,-0.684
2019-06-04 11:26:47:36,-0.684
2019-06-04 11:26:47:37,-0.684
2019-06-04 11:26:47:39,-0.684
2019-06-04 11:26:47:40,-0.684
2019-06-04 11:26:47:44,-0.684
2019-06-04 11:26:47:45,-0.684
2019-06-04 11:26:47:47,-0.684
2019-06-04 11:26:47:48,-0.684
2019-06-04 11:26:47:50,-0.684
2019-06-04 11:26:47:51,-0.684
2019-06-04 11:26:47:54,-0.684
2019-06-04 11:26:47:56,-0.684
2019-06-04 11:26:47:58,-0.684
2019-06-04 11:26:47:59,-0.684
2019-06-04 11:26:47:61,-0.684
2019-06-04 11:26:47:62,-0.684
2019-06-04 11:26:47:65,-0.684
2019-06-04 11:26:47:67,-0.684
2019-06-04 11:26:47:68,-0.684
2019-06-04 11:26:47:70,-0.684
2019-06-04 11:26:47:72,-0.684
2019-06-04 11:26:47:73,-0.684
2019-06-04 11:26:47:76,-0.684
2019-06-04 11:26:47:78,-0.684
2019-06-04 11:26:47:79,-0.684
2019-06-04 11:26:47:81,-0.684
2019-06-04 11:26:47:83,-0.684
2019-06-04 11:26:47:84,-0.684
2019-06-04 11:26:47:87,-0.684
2019-06-04 11:26:47:89,-0.684
2019-06-04 11:26:47:90,-0.684
2019-06-04 11:26:47:92,-0.684
2019-06-04 11:26:47:95,-0.684
2019-06-04 11:26:47:98,-0.684
2019-06-04 11:26:48:00,-0.684
2019-06-04 11:26:48:03,-0.684
2019-06-04 11:26:48:14,-0.682
2019-06-04 11:26:48:17,-0.682
2019-06-04 11:26:48:20,-0.682
2019-06-04 11:26:48:22,-0.682
2019-06-04 11:26:48:23,-0.682
2019-06-04 11:26:48:25,-0.682
2019-06-04 11:26:48:26,-0.682
2019-06-04 11:26:48:28,-0.682
2019-06-04 11:26:48:31,-0.682
2019-06-04 11:26:48:32,-0.682
2019-06-04 11:26:48:34,-0.682
2019-06-04 11:26:48:36,-0.682
2019-06-04 11:26:48:37,-0.682
2019-06-04 11:26:48:39,-0.682
2019-06-04 11:26:48:42,-0.682
2019-06-04 11:26:48:43,-0.682
2019-06-04 11:26:48:45,-0.682
2019-06-04 11:26:48:46,-0.682
2019-06-04 11:26:48:48,-0.682
2019-06-04 11:26:48:50,-0.682
2019-06-04 11:26:48:53,-0.682
2019-06-04 11:26:48:54,-0.682
2019-06-04 11:26:48:56,-0.682
2019-06-04 11:26:48:57,-0.682
2019-06-04 11:26:48:59,-0.682
2019-06-04 11:26:48:61,-0.682
2019-06-04 11:26:48:64,-0.682
2019-06-04 11:26:48:65,-0.682
2019-06-04 11:26:48:67,-0.682
2019-06-04 11:26:48:68,-0.682
2019-06-04 11:26:48:70,-0.682
2019-06-04 11:26:48:71,-0.682
2019-06-04 11:26:48:75,-0.682
2019-06-04 11:26:48:76,-0.682
2019-06-04 11:26:48:78,-0.682
2019-06-04 11:26:48:79,-0.682
2019-06-04 11:26:48:81,-0.682
2019-06-04 11:26:48:82,-0.682
2019-06-04 11:26:48:85,-0.682
2019-06-04 11:26:48:87,-0.682
2019-06-04 11:26:48:89,-0.682
2019-06-04 11:26:48:90,-0.682
2019-06-04 11:26:48:92,-0.682
2019-06-04 11:26:48:93,-0.682
2019-06-04 11:26:48:96,-0.682
2019-06-04 11:26:48:98,-0.682
2019-06-04 11:26:49:03,-0.682
2019-06-04 11:26:49:04,-0.682
2019-06-04 11:26:49:07,-0.682
2019-06-04 11:26:49:09,-0.682
2019-06-04 11:26:49:10,-0.682
2019-06-04 11:26:49:28,-0.686
2019-06-04 11:26:49:31,-0.686
2019-06-04 11:26:49:34,-0.686
2019-06-04 11:26:49:35,-0.686
2019-06-04 11:26:49:39,-0.686
2019-06-04 11:26:49:40,-0.686
2019-06-04 11:26:49:43,-0.686
2019-06-04 11:26:49:45,-0.686
2019-06-04 11:26:49:46,-0.686
2019-06-04 11:26:49:48,-0.686
2019-06-04 11:26:49:51,-0.686
2019-06-04 11:26:49:53,-0.686
